time=10.9 | regret-basic=3.34 | regret-our(beta1)=3.02 | regret-our(beta2)=2.7 | regret-our(beta3)=2.35
time=9.5 | regret-basic=3.45 | regret-our(beta1)=3.11 | regret-our(beta2)=2.77 | regret-our(beta3)=2.42
time=9.4 | regret-basic=3.35 | regret-our(beta1)=3.03 | regret-our(beta2)=2.7 | regret-our(beta3)=2.36
#rounds= | regret-basic=3.45 | regret-our(beta1)=3.11 | regret-our(beta2)=2.76 | regret-our(beta3)=2.42
#rounds=1 | regret-basic=0.68 | regret-our(beta1)=0.61 | regret-our(beta2)=0.55 | regret-our(beta3)=0.48
#rounds=1 | regret-basic=0.68 | regret-our(beta1)=0.61 | regret-our(beta2)=0.55 | regret-our(beta3)=0.48
#rounds=1 | regret-basic=0.68 | regret-our(beta1)=0.61 | regret-our(beta2)=0.55 | regret-our(beta3)=0.48
#rounds=1 | regret-basic=0.69 | regret-our(beta1)=1.62 | regret-our(beta2)=1.55 | regret-our(beta3)=1.48
#rounds=1 | regret-basic=0.69 | regret-our(beta1)=1.62 | regret-our(beta2)=1.55 | regret-our(beta3)=1.48
#rounds=2 | regret-basic=-1.43 | regret-our(beta1)=-2.08 | regret-our(beta2)=-2.31 | regret-our(beta3)=-2.31
#rounds=1 | regret-basic=0.69 | regret-our(beta1)=-4.04 | regret-our(beta2)=-3.68 | regret-our(beta3)=-3.18
#rounds=1 | regret-basic=0.69 | regret-our(beta1)=-4.04 | regret-our(beta2)=-3.68 | regret-our(beta3)=-3.18
#rounds=1 | regret-basic=0.69 | regret-our(beta1)=-4.04 | regret-our(beta2)=-3.68 | regret-our(beta3)=-3.18
#rounds=1 | regret-basic=-6.24 | regret-our(beta1)=-4.04 | regret-our(beta2)=-3.68 | regret-our(beta3)=-3.18
#rounds=1 | regret-basic=-6.24 | regret-our(beta1)=-4 | regret-our(beta2)=-3.59 | regret-our(beta3)=-3.05
#rounds=2 | regret-basic=-8.77 | regret-our(beta1)=1.26 | regret-our(beta2)=0.67 | regret-our(beta3)=0.31
#rounds=3 | regret-basic=-15.19 | regret-our(beta1)=0.74 | regret-our(beta2)=0.28 | regret-our(beta3)=0.02
#rounds=1 | regret-basic=-6.24 | regret-our(beta1)=-4 | regret-our(beta2)=-3.59 | regret-our(beta3)=-3.05
#rounds=2 | regret-basic=-8.77 | regret-our(beta1)=274.22 | regret-our(beta2)=543.64 | regret-our(beta3)=813.2
#rounds=3 | regret-basic=-15.19 | regret-our(beta1)=277.16 | regret-our(beta2)=549.01 | regret-our(beta3)=821.01
#rounds=1 | regret-basic=0 | regret-our(beta1)=1.06 | regret-our(beta2)=1.18 | regret-our(beta3)=1.15
#rounds=1 | regret-basic=0.61 | regret-our(beta1)=1.01 | regret-our(beta2)=1 | regret-our(beta3)=1
#rounds=1 | regret-basic=0.42 | regret-our(beta1)=0.34 | regret-our(beta2)=0.27 | regret-our(beta3)=0.21
#rounds=2 | regret-basic=0.72 | regret-our(beta1)=0.62 | regret-our(beta2)=0.55 | regret-our(beta3)=0.49
#rounds=3 | regret-basic=1.38 | regret-our(beta1)=1.21 | regret-our(beta2)=1.07 | regret-our(beta3)=0.95
#rounds=4 | regret-basic=2 | regret-our(beta1)=1.77 | regret-our(beta2)=1.55 | regret-our(beta3)=1.36
#rounds=1 | regret-basic=0.69 | regret-our(beta1)=159.56 | regret-our(beta2)=495.2 | regret-our(beta3)=830.84
#rounds=1 | regret-basic=1 | regret-our(beta1)=160 | regret-our(beta2)=716 | regret-our(beta3)=237
#rounds=1 | regret-basic=1 | regret-our(beta1)=160 | regret-our(beta2)=716 | regret-our(beta3)=237
#rounds=1 | regret-basic=1 | regret-our(beta1)=160 | regret-our(beta2)=716 | regret-our(beta3)=237
#rounds=1 | regret-basic=1 | regret-our(beta1)=160 | regret-our(beta2)=716 | regret-our(beta3)=237
#rounds=1 | regret-basic=1 | regret-our(beta1)=1 | regret-our(beta2)=1 | regret-our(beta3)=0
#rounds=1 | regret-basic=1 | regret-our(beta1)=1 | regret-our(beta2)=1 | regret-our(beta3)=0
#rounds=20 | regret-basic=14 | regret-our(beta1)=12 | regret-our(beta2)=11 | regret-our(beta3)=10
#rounds=10 | regret-basic=5.669 | regret-our(beta1)=5.103 | regret-our(beta2)=4.537 | regret-our(beta3)=3.971
#rounds=10 | regret-basic=5.669 | regret-our(beta1)=6.562 | regret-our(beta2)=9.013 | regret-our(beta3)=NaN
#rounds=10 | regret-basic=6.603 | regret-our(beta1)=20.328 | regret-our(beta2)=NaN | regret-our(beta3)=287.834
#rounds=10 | regret-basic=6.603 | regret-our(beta1)=6.551 | regret-our(beta2)=6.72 | regret-our(beta3)=7.131
#rounds=10 | regret-basic=6.603 | regret-our(beta1)=6.591 | regret-our(beta2)=6.64 | regret-our(beta3)=6.771
#rounds=20 | regret-basic=12.885 | regret-our(beta1)=10.646 | regret-our(beta2)=9.153 | regret-our(beta3)=7.96
#rounds=15 | regret-basic=10.009 | regret-our(beta1)=9.317 | regret-our(beta2)=8.936 | regret-our(beta3)=8.684
